,e1leftcar,e1leftwaiting,e1leftvalue,e1rightcar,e1rightwaiting,e1rightvalue,e2leftcar,e2leftwaiting,e2leftvalue,e2rightcar,e2rightwaiting,e2rightvalue,e3leftcar,e3leftwaiting,e3leftvalue,e3rightcar,e3rightwaiting,e3rightvalue,e4leftcar,e4leftwaiting,e4leftvalue,e4rightcar,e4rightwaiting,e4rightvalue,1_time,2_time,3_time,4_time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,8,48,0,0,0,0,4,15,0,1,13,0,1,11,0,0,0,0,4,20,0,32,55,26,39
2,0,0,0,13,77,0,2,20,0,4,44,0,2,42,0,0,0,0,3,23,0,0,0,0,32,55,26,39
3,1,26,0,16,119,1,2,62,0,5,86,0,0,0,0,2,34,0,0,0,0,5,30,0,32,55,26,39
4,2,59,0,0,0,0,4,95,0,0,0,0,1,2,0,5,67,0,2,24,0,9,63,0,32,55,26,39
5,0,0,0,12,101,1,0,0,0,0,0,0,2,60,0,9,125,1,5,82,0,14,121,1,32,55,26,39
6,0,0,0,16,130,1,1,14,0,0,0,0,3,89,0,0,0,0,7,111,1,0,0,0,32,55,26,39
7,1,26,0,20,172,1,3,56,0,2,16,0,0,0,0,7,36,0,0,0,0,6,60,0,32,55,26,39
8,1,59,0,0,0,0,4,89,0,0,0,0,1,12,0,13,69,0,0,0,0,7,93,0,32,55,26,39
9,0,0,0,10,114,1,0,0,0,3,40,0,3,70,0,19,127,1,3,53,0,12,151,1,32,55,26,39
10,1,5,0,13,143,1,0,0,0,4,69,0,5,99,0,0,17,0,3,82,0,0,0,0,32,55,26,39
11,4,47,0,17,185,1,3,28,0,8,111,1,0,0,0,15,128,1,0,0,0,12,48,0,32,55,26,39
12,5,80,0,0,0,0,5,61,0,0,0,0,0,0,0,20,161,1,0,0,0,15,81,0,32,55,26,39
13,0,0,0,10,96,0,0,0,0,2,15,0,0,0,0,26,219,1,3,46,0,20,139,1,32,55,26,39
14,2,12,0,11,125,1,0,0,0,4,44,0,1,26,0,1,38,0,4,75,0,1,61,0,32,55,26,39
15,7,53,0,13,167,1,1,14,0,8,86,0,1,9,0,17,189,1,0,0,0,13,143,1,32,55,26,39
16,8,86,0,0,0,0,5,47,0,0,0,0,1,42,0,22,222,1,1,5,0,14,176,1,32,55,26,39
17,0,0,0,5,41,0,0,0,0,6,29,0,2,100,0,28,280,1,2,63,0,20,234,1,32,55,26,39
18,0,0,0,8,70,0,0,0,0,11,58,0,0,0,0,12,221,1,2,92,0,3,51,0,32,55,26,39
19,1,15,0,12,112,1,1,28,0,14,100,0,1,5,0,14,270,1,0,0,0,12,193,1,32,55,26,39
20,1,48,0,0,0,0,4,61,0,0,0,0,2,38,0,35,303,1,2,14,0,19,226,1,32,55,26,39
21,0,0,0,3,45,0,0,0,0,8,42,0,4,96,0,41,361,1,4,72,0,25,284,1,32,55,26,39
22,0,0,0,6,74,0,0,0,0,9,71,0,0,115,1,26,201,1,4,101,1,11,116,1,32,55,26,39
23,1,33,0,12,116,1,3,9,0,9,113,1,0,0,0,17,314,1,0,0,0,15,192,1,32,55,26,39
24,2,66,0,0,0,0,4,42,0,0,0,0,2,12,0,38,347,1,4,19,0,27,225,1,32,55,26,39
25,0,0,0,5,33,0,0,0,0,5,34,0,2,70,0,43,405,1,7,77,0,33,283,1,32,55,26,39
26,0,0,0,5,62,0,0,0,0,7,63,0,1,94,0,35,381,1,0,0,0,20,188,1,32,55,26,39
27,1,0,0,8,104,1,3,39,0,11,105,1,0,0,0,12,385,1,1,0,0,15,260,1,32,55,26,39
28,1,33,0,0,0,0,5,72,0,0,0,0,0,0,0,31,418,1,5,32,0,32,293,1,32,55,26,39
29,0,0,0,2,14,0,0,0,0,2,29,0,0,0,0,42,463,1,7,77,0,33,338,1,24,20,27,50
30,1,5,0,6,67,0,2,15,0,6,82,0,0,0,0,0,178,1,0,0,0,5,289,1,24,20,27,50
31,2,30,0,6,92,0,3,40,0,8,107,1,0,0,0,11,437,1,0,0,0,2,250,1,24,20,27,50
32,4,53,0,8,115,1,4,63,0,10,130,1,1,13,0,22,460,1,1,9,0,13,271,1,24,20,27,50
