,running_time,number_of_cars,north_car,south_car,east_car,west_car,30 upper,50 upper,80 upper,100 upper,150 upper,option
0,621,272,93,82,50,47,181,140,84,32,0,SNL
1,6284,2493,764,799,465,465,1843,1597,1244,1042,811,NSM
2,6879,2593,812,829,483,469,2031,1780,1415,1184,878,NSM
3,6431,2570,801,788,477,504,1985,1753,1369,1137,872,NSM
4,5607,2491,756,763,496,476,1872,1616,1234,955,688,NSM
5,6579,2593,836,827,459,471,1944,1698,1317,1057,809,NSM
6,5884,2537,791,797,477,472,1936,1712,1333,1099,795,NSM
7,6291,2494,767,790,449,488,1880,1631,1266,1058,826,NSM
8,6432,2535,820,790,468,457,1906,1696,1344,1122,857,NSM
9,6308,2547,837,781,471,458,1913,1657,1291,1070,801,NSM
10,6025,2546,787,775,498,486,1961,1720,1323,1088,816,NSM
11,6583,2621,841,802,471,507,2024,1784,1346,1110,844,NSM
12,7139,2585,789,849,471,476,1932,1685,1362,1158,925,NSM
13,6519,2552,488,468,779,817,1941,1711,1329,1110,847,EWM
14,5933,2574,513,494,802,765,1921,1654,1307,1064,772,EWM
15,6361,2511,461,450,754,846,1874,1614,1283,1083,806,EWM
16,5942,2538,494,492,749,803,1922,1668,1277,1041,748,EWM
17,5667,2500,481,465,784,770,1893,1657,1307,1028,680,EWM
18,6371,2516,508,431,756,821,1901,1672,1310,1084,810,EWM
19,6380,2546,488,486,826,746,1917,1674,1271,1053,755,EWM
20,6799,2556,461,492,835,768,1901,1668,1304,1096,796,EWM
21,6511,2552,506,462,773,811,1943,1690,1281,1101,828,EWM
22,6652,2524,474,444,790,816,1942,1696,1337,1080,803,EWM
23,6097,2576,495,530,774,777,1968,1737,1351,1101,838,EWM
24,6099,2547,483,501,770,793,1974,1744,1375,1104,851,EWM
25,4164,1944,465,490,474,515,984,689,287,81,0,M
26,4135,1946,499,472,469,506,995,726,309,88,1,M
27,5483,3271,820,863,782,806,3028,2875,2561,2224,1459,L
28,6863,3245,791,829,801,824,3006,2847,2493,2239,1817,L
29,6433,3162,820,786,801,755,2911,2731,2350,2073,1557,L
30,6728,3186,775,832,782,797,2913,2737,2375,2082,1577,L
31,7000,3205,809,776,812,808,2919,2713,2340,2082,1601,L
32,6515,3282,814,806,830,832,3000,2822,2465,2188,1679,L
33,6301,3196,802,790,784,820,2941,2768,2433,2167,1628,L
34,6857,3217,831,765,823,798,2922,2744,2371,2109,1677,L
35,6856,3164,802,777,786,799,2926,2732,2345,2095,1628,L
36,6591,3231,798,817,835,781,2956,2757,2415,2166,1697,L
37,4227,2325,575,577,594,579,1649,1334,776,303,35,M
38,4583,2484,661,648,585,590,1934,1644,1099,528,180,M
39,4228,2457,610,596,599,652,1786,1490,951,494,135,M
40,4816,2553,641,615,673,624,2066,1795,1294,810,374,M
41,4366,2477,603,602,623,649,1803,1492,959,505,169,M
42,4447,2475,637,610,601,627,1904,1626,1137,668,266,M
43,4312,2461,605,610,629,617,1837,1503,1006,400,89,M
44,4239,2470,618,607,591,654,1787,1521,951,441,97,M
45,4250,2562,624,632,664,642,1979,1685,1146,524,99,M
46,4246,2531,624,650,616,641,1743,1418,832,335,47,M
47,4157,1694,441,403,431,419,825,561,227,43,0,S
48,4159,1683,437,417,391,438,845,606,231,44,0,S
49,4153,1718,415,455,444,404,873,629,254,51,0,S
50,4161,1762,433,443,424,462,899,605,246,54,0,S
51,4135,1690,455,401,409,425,802,562,221,36,1,S
52,4162,1706,408,438,424,436,830,585,204,29,0,S
53,4155,1688,425,404,450,409,823,586,212,53,3,S
54,4165,1666,448,414,407,397,807,542,209,49,0,S
55,4132,1753,428,438,464,423,874,604,232,39,0,S
56,4157,1695,435,407,398,455,862,591,241,38,0,S
57,4158,1713,431,417,436,429,864,600,231,56,3,S
58,4156,1768,471,445,438,414,882,622,240,51,0,S
59,4154,1724,449,420,402,453,897,627,258,51,0,S
60,4158,1732,439,451,417,425,870,604,214,41,0,S
61,6218,2576,487,527,803,759,1978,1718,1346,1082,798,NSM
62,2965,1334,251,242,430,411,1000,861,636,472,285,NSM
63,3233,1312,257,226,405,424,1010,891,663,507,365,NSM
64,3257,1265,239,235,374,417,948,822,637,508,384,NSM
66,2958,1284,263,238,386,397,935,779,583,448,305,NSM
